date,open_ibova,open_oil,open_usd,open_petr4,open_vale
05/03/2012,67782,11.28235054,16.97060776,24.94000053,44.11999893
06/03/2012,66962,11.35005856,17.07078171,25.14999962,44.06000137
07/03/2012,65123,11.12198925,16.62454605,24.10000038,41.88000107
08/03/2012,66032,11.14337063,16.5243721,24.04999924,41.20000076
09/03/2012,66908,11.36787701,16.83400345,24.42000008,41.88999939
12/03/2012,66687,11.44627571,17.27568626,24.10000038,41.13999939
13/03/2012,66386,11.49973011,17.34854126,23.54999924,40.70000076
14/03/2012,68386,11.57100201,17.27113342,23.64999962,41
15/03/2012,68259,11.68503666,17.34398842,24.39999962,42.50999832
16/03/2012,67749,11.54249382,17.26202583,24.68000031,42.34999847
19/03/2012,67685,11.75630856,17.51701736,24.25,43
20/03/2012,67725,11.79550934,17.57621193,24.35000038,42.97000122
21/03/2012,67297,11.55674839,17.33032799,24.01000023,42.29999924
22/03/2012,66860,11.46765804,17.18006516,24.20999908,42.40000153
23/03/2012,65831,11.46765804,16.98882103,24.20999908,41.95000076
26/03/2012,65818,11.54605675,16.74293518,23.93000031,41.52999878
27/03/2012,66683,11.69216537,16.61999321,23.94000053,41.91999817
28/03/2012,66032,11.79550934,16.84766579,24.20999908,42.43000031
29/03/2012,65074,11.7135458,16.75204277,23.79000092,42.29000092
30/03/2012,64875,11.42845821,16.32402039,23.20999908,41.47999954
02/04/2012,64515,11.45696735,16.38321686,23.5,42.50999832
03/04/2012,65218,11.40351295,15.95063972,23.28000069,42.99000168
04/04/2012,64301,11.3785677,16.02804947,23.21999931,43.91999817
05/04/2012,63518,11.21107864,15.70020199,22.26000023,42.29999924
09/04/2012,63690,11.01508141,15.3131609,21.81999969,42.04999924
10/04/2012,62922,10.86897373,14.88969326,21.76000023,41.50999832
11/04/2012,61741,10.91530037,14.79862404,21.5,41.40999985
12/04/2012,61300,10.92599106,14.49809837,21.45000076,41.70000076
13/04/2012,63039,10.97588062,14.68934155,21.51000023,41.81000137
16/04/2012,62120,11.04715347,14.77585697,21.87999916,43.40000153
17/04/2012,61959,10.97588062,14.57095337,21.82999992,43.08000183
18/04/2012,62696,11.01508141,14.5481863,21.78000069,42.45000076
19/04/2012,63007,10.90817261,14.31140804,21.54999924,42.99000168
20/04/2012,62620,10.8832283,14.18391228,21.62999916,43.27000046
23/04/2012,62494,10.90817261,14.55729294,21.62000084,43.5
24/04/2012,61537,10.69435692,14.34783459,21.20999908,42.15000153
25/04/2012,61989,10.75850201,14.32051468,21.32999992,42.5
26/04/2012,61750,10.83333778,13.81963825,21.37999916,43.29999924
27/04/2012,62203,10.5482502,13.36429596,20.89999962,40.74000168
30/04/2012,61691,10.77988434,13.59196663,21.35000038,43
02/05/2012,61820,10.69079399,13.54643345,20.96999931,42.61000061
03/05/2012,62427,10.69079399,13.56464672,20.96999931,42.40000153
04/05/2012,62104,10.80839157,13.38706303,21.98999977,43.29999924
07/05/2012,60802,10.65515804,13.34152889,21.26000023,42.29999924
08/05/2012,61218,10.64446735,13.15939236,20.45000076,41.02000046
09/05/2012,60346,10.56250381,13.15483856,20.39999962,41.34999847
10/05/2012,59796,10.38788795,13.05921745,20.04999924,39.90000153
11/05/2012,59703,10.5482502,13.29599476,20.29999924,41.04999924
14/05/2012,59443,10.31661606,12.79511833,19.70999908,39.84999847
15/05/2012,57540,10.26316166,12.93172073,19.07999992,38.40000153
16/05/2012,56245,10.29879761,12.93172073,19,38.54999924
17/05/2012,55886,10.3451252,12.96814823,19.27000046,38.63999939
18/05/2012,54032,10.05647278,12.74503136,19.44000053,37.31000137
21/05/2012,54516,9.603896141,12.38531017,18.60000038,36.34999847
22/05/2012,56586,9.78920269,12.38075733,19.06999969,37.09000015
23/05/2012,55039,10.23465347,13.04555607,20.31999969,37.65999985
24/05/2012,54620,10.26316166,12.9544878,19.65999985,37.38000107
25/05/2012,54062,10.17763615,12.96814823,19.34000015,37.83000183
28/05/2012,54467,10.06003666,12.72681713,18.71999931,36.95000076
29/05/2012,55214,10.27028942,13.00002193,18.95000076,36.70000076
30/05/2012,54632,10.15268993,13.022789,18.90999985,37.08000183
31/05/2012,53805,10.01371002,12.52191257,18.55999947,36.77999878
01/06/2012,54488,10.33443356,12.8178854,18.47999954,37.49000168
04/06/2012,53408,10.33443356,13.08198357,18.53000069,36.61999893
05/06/2012,53413,10.4769783,13.00002193,18.84000015,36.95999908
06/06/2012,52486,10.45915985,12.8861866,19.20999908,37
08/06/2012,54150,10.26316166,12.65851593,19.04999924,37
11/06/2012,54434,10.5660677,13.10475063,19.04999924,38.02000046
12/06/2012,54001,10.69079399,13.25046062,19.11000061,38.61000061
13/06/2012,55041,10.79413795,13.35974312,18.45000076,37.95000076
14/06/2012,55641,10.83690071,13.33242226,18.53000069,38.70000076
15/06/2012,55349,11.00795364,13.47813225,18.54999924,38.43000031
18/06/2012,56066,11.07922554,13.53732586,18.27000046,39
19/06/2012,56210,11.01151657,13.75133705,18.54999924,39.52000046
20/06/2012,57196,11.15406132,13.72856998,19,40
21/06/2012,57162,11.19682503,13.87883282,19.72999954,40.75999832
22/06/2012,55518,11.12911606,13.70580292,20.01000023,40.81000137
25/06/2012,55406,10.86184597,13.1958189,19.39999962,40
26/06/2012,53806,10.59101295,12.63119507,18.70000076,38.79999924
27/06/2012,53837,10.57675838,12.5082531,18.04000092,39.13000107
28/06/2012,53107,10.46628666,12.33977604,18,40
29/06/2012,52656,10.45559597,12.38531017,17.60000038,39.58000183
02/07/2012,54355,10.79413795,12.86341953,18.23999977,40.02999878
03/07/2012,54704,10.64090347,12.82699203,18.10000038,40.00999832
04/07/2012,55780,10.76206589,12.94993496,18.52000046,40.24000168
05/07/2012,56083,10.91530037,13.15939236,18.88999939,41
06/07/2012,56376,11.00795364,13.33242226,19.10000038,41.49000168
10/07/2012,55392,10.86897373,13.20948029,19.35000038,41.27000046
11/07/2012,53708,11.05071735,13.36429596,19.10000038,40.58000183
12/07/2012,53564,10.83333778,12.79511833,18.51000023,39.86999893
13/07/2012,53422,10.53043175,12.59476757,18.29999924,38.99000168
16/07/2012,54316,10.63021183,13.04555607,19.54999924,39.72000122
17/07/2012,53403,10.64090347,13.27322769,19.54999924,39.90000153
18/07/2012,53909,10.63733959,13.33242226,19.43000031,39.68000031
19/07/2012,54588,10.53399467,13.20492554,19.14999962,39.45000076
20/07/2012,55337,10.81552029,13.52366638,19.32999992,39.18000031
